median_income,NAME,state,county,tract,GEOID
98668,Census Tract 1000.01; Harris County; Texas,48,201,100001,48201100001
44821,Census Tract 2104; Harris County; Texas,48,201,210400,48201210400
48837,Census Tract 2105; Harris County; Texas,48,201,210500,48201210500
82321,Census Tract 2106; Harris County; Texas,48,201,210600,48201210600
51966,Census Tract 2107; Harris County; Texas,48,201,210700,48201210700
39153,Census Tract 2108; Harris County; Texas,48,201,210800,48201210800
47117,Census Tract 2109; Harris County; Texas,48,201,210900,48201210900
31667,Census Tract 2110; Harris County; Texas,48,201,211000,48201211000
39120,Census Tract 2111.01; Harris County; Texas,48,201,211101,48201211101
27844,Census Tract 2111.02; Harris County; Texas,48,201,211102,48201211102
22982,Census Tract 2112; Harris County; Texas,48,201,211200,48201211200
40991,Census Tract 2113.01; Harris County; Texas,48,201,211301,48201211301
39871,Census Tract 2113.02; Harris County; Texas,48,201,211302,48201211302
74318,Census Tract 2114; Harris County; Texas,48,201,211400,48201211400
51979,Census Tract 2115.01; Harris County; Texas,48,201,211501,48201211501
54900,Census Tract 2115.02; Harris County; Texas,48,201,211502,48201211502
47143,Census Tract 2116; Harris County; Texas,48,201,211600,48201211600
32240,Census Tract 2117; Harris County; Texas,48,201,211700,48201211700
49050,Census Tract 2119; Harris County; Texas,48,201,211900,48201211900
62813,Census Tract 2123; Harris County; Texas,48,201,212300,48201212300
40516,Census Tract 2124; Harris County; Texas,48,201,212400,48201212400
54966,Census Tract 2125; Harris County; Texas,48,201,212500,48201212500
43583,Census Tract 2201; Harris County; Texas,48,201,220100,48201220100
45833,Census Tract 2202; Harris County; Texas,48,201,220200,48201220200
53792,Census Tract 2203; Harris County; Texas,48,201,220300,48201220300
50086,Census Tract 2204; Harris County; Texas,48,201,220400,48201220400
19877,Census Tract 2205; Harris County; Texas,48,201,220500,48201220500
36905,Census Tract 2206; Harris County; Texas,48,201,220600,48201220600
43889,Census Tract 2207.01; Harris County; Texas,48,201,220701,48201220701
31083,Census Tract 2207.02; Harris County; Texas,48,201,220702,48201220702
34512,Census Tract 2208; Harris County; Texas,48,201,220800,48201220800
22412,Census Tract 2209; Harris County; Texas,48,201,220900,48201220900
41985,Census Tract 2210; Harris County; Texas,48,201,221000,48201221000
56993,Census Tract 2211; Harris County; Texas,48,201,221100,48201221100
46832,Census Tract 2212; Harris County; Texas,48,201,221200,48201221200
66289,Census Tract 2213.01; Harris County; Texas,48,201,221301,48201221301
51221,Census Tract 2213.02; Harris County; Texas,48,201,221302,48201221302
33441,Census Tract 2214; Harris County; Texas,48,201,221400,48201221400
54070,Census Tract 2215.01; Harris County; Texas,48,201,221501,48201221501
32625,Census Tract 2215.02; Harris County; Texas,48,201,221502,48201221502
