Total_Population,NAME,state,county,tract
5256,Census Tract 1000.01; Harris County; Texas,48,201,100001
3983,Census Tract 2104; Harris County; Texas,48,201,210400
4711,Census Tract 2105; Harris County; Texas,48,201,210500
5821,Census Tract 2106; Harris County; Texas,48,201,210600
2534,Census Tract 2107; Harris County; Texas,48,201,210700
2106,Census Tract 2108; Harris County; Texas,48,201,210800
1676,Census Tract 2109; Harris County; Texas,48,201,210900
1813,Census Tract 2110; Harris County; Texas,48,201,211000
3240,Census Tract 2111.01; Harris County; Texas,48,201,211101
2215,Census Tract 2111.02; Harris County; Texas,48,201,211102
2207,Census Tract 2112; Harris County; Texas,48,201,211200
2590,Census Tract 2113.01; Harris County; Texas,48,201,211301
2704,Census Tract 2113.02; Harris County; Texas,48,201,211302
4127,Census Tract 2114; Harris County; Texas,48,201,211400
3034,Census Tract 2115.01; Harris County; Texas,48,201,211501
2909,Census Tract 2115.02; Harris County; Texas,48,201,211502
2945,Census Tract 2116; Harris County; Texas,48,201,211600
3707,Census Tract 2117; Harris County; Texas,48,201,211700
5157,Census Tract 2119; Harris County; Texas,48,201,211900
4554,Census Tract 2123; Harris County; Texas,48,201,212300
3198,Census Tract 2124; Harris County; Texas,48,201,212400
3517,Census Tract 2125; Harris County; Texas,48,201,212500
1571,Census Tract 2201; Harris County; Texas,48,201,220100
2313,Census Tract 2202; Harris County; Texas,48,201,220200
4162,Census Tract 2203; Harris County; Texas,48,201,220300
4895,Census Tract 2204; Harris County; Texas,48,201,220400
3310,Census Tract 2205; Harris County; Texas,48,201,220500
3137,Census Tract 2206; Harris County; Texas,48,201,220600
3039,Census Tract 2207.01; Harris County; Texas,48,201,220701
3541,Census Tract 2207.02; Harris County; Texas,48,201,220702
3897,Census Tract 2208; Harris County; Texas,48,201,220800
1670,Census Tract 2209; Harris County; Texas,48,201,220900
3827,Census Tract 2210; Harris County; Texas,48,201,221000
3702,Census Tract 2211; Harris County; Texas,48,201,221100
5609,Census Tract 2212; Harris County; Texas,48,201,221200
4241,Census Tract 2213.01; Harris County; Texas,48,201,221301
3647,Census Tract 2213.02; Harris County; Texas,48,201,221302
6414,Census Tract 2214; Harris County; Texas,48,201,221400
5636,Census Tract 2215.01; Harris County; Texas,48,201,221501
3321,Census Tract 2215.02; Harris County; Texas,48,201,221502
3277,Census Tract 2216.01; Harris County; Texas,48,201,221601
5411,Census Tract 2216.02; Harris County; Texas,48,201,221602
5488,Census Tract 2217.01; Harris County; Texas,48,201,221701
3003,Census Tract 2217.02; Harris County; Texas,48,201,221702
4597,Census Tract 2218; Harris County; Texas,48,201,221800
5231,Census Tract 2219; Harris County; Texas,48,201,221900
2349,Census Tract 2220; Harris County; Texas,48,201,222000
4750,Census Tract 2221; Harris County; Texas,48,201,222100
3044,Census Tract 2222; Harris County; Texas,48,201,222200
4984,Census Tract 2223; Harris County; Texas,48,201,222300
2937,Census Tract 2224.01; Harris County; Texas,48,201,222401
6678,Census Tract 2224.02; Harris County; Texas,48,201,222402
3233,Census Tract 2225.01; Harris County; Texas,48,201,222501
3719,Census Tract 2225.02; Harris County; Texas,48,201,222502
3571,Census Tract 2225.04; Harris County; Texas,48,201,222504
3351,Census Tract 2225.05; Harris County; Texas,48,201,222505
2082,Census Tract 2226.01; Harris County; Texas,48,201,222601
2459,Census Tract 2226.02; Harris County; Texas,48,201,222602
2597,Census Tract 2227.01; Harris County; Texas,48,201,222701
3832,Census Tract 2227.02; Harris County; Texas,48,201,222702
4350,Census Tract 2228; Harris County; Texas,48,201,222800
8047,Census Tract 2229; Harris County; Texas,48,201,222900
4117,Census Tract 2230.01; Harris County; Texas,48,201,223001
2902,Census Tract 2230.02; Harris County; Texas,48,201,223002
2433,Census Tract 2231; Harris County; Texas,48,201,223100
1380,Census Tract 2301; Harris County; Texas,48,201,230100
4860,Census Tract 2302; Harris County; Texas,48,201,230200
2126,Census Tract 2303; Harris County; Texas,48,201,230300
3923,Census Tract 2304; Harris County; Texas,48,201,230400
4078,Census Tract 2305; Harris County; Texas,48,201,230500
2983,Census Tract 2306; Harris County; Texas,48,201,230600
2727,Census Tract 2307; Harris County; Texas,48,201,230700
2136,Census Tract 2308; Harris County; Texas,48,201,230800
4473,Census Tract 2309; Harris County; Texas,48,201,230900
5795,Census Tract 2310; Harris County; Texas,48,201,231000
